Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3
50,0,22.73,41.2,19.8567,45.4667,24.3567,38.79
70,10,25.1,32.6333,27.272,26.85,25,36.29
50,0,21,37.76,18.5667,38.9633,21.1,35.2
50,0,21.7,42,18.79,45.79,23.6,39.4
50,0,22.89,39.29,20.772,39.7,24.4371,37.5643
50,0,22.7,40.29,21.89,39.3633,20.89,42
140,0,20.79,37.9567,18.1333,38.6,21.6,35
40,0,19.79,36.86,16.5,41.76,20.29,37.59
50,0,19.39,41.3633,18.26,41.5,19.7,40.7
60,0,20.1667,46.9933,19.2,43.76,19.89,44.79
110,10,22.29,43.06,21,42.2,21.8837,44.5162
30,0,21.2,44.8267,19.7,45.1267,21.79,43.2
90,10,22.1333,43.9967,20.39,41.99,21.4633,41.0267
60,0,24,43.59,21.8233,46.1267,25.0333,40.4
60,0,19.4267,37.03,16.29,41.79,20,37
80,10,19.4267,45.29,19.1667,44.36,19.3233,43.9667
60,0,21,40.4333,18.5,44.23,21.6,38.1633
890,20,19.73,37.8633,18.5667,34.09,18.39,36.8633
50,50,21.7,46.59,20.7,45.9633,22.3233,44.3633
110,0,25.6333,31.1333,26.7,27.5667,25.2,36
320,0,20.4267,43.3633,19.4267,43.23,20.29,44.09
130,0,20.1,37.66,20.23,36.2233,20,36.29
50,0,21.39,39.79,19.5667,40.9333,21.5,40.7
90,0,20.39,44.09,20,43.29,19.9633,43.8633
40,0,21,35.845,18.39,36.9,20.89,35.5
340,0,18.29,38.59,17.39,38.5,18.5,39.23
40,0,20.89,34.4667,21.6,32.9667,21.3233,34.29
110,0,23.5667,39.1633,21.5333,39.59,23.5333,38.53
70,0,21.2,38.79,18.5,42.9,22,36.9
50,0,21.6,44,20.2,44.56,22.1,44
40,20,21.5,41.2,19.1,45.2,21,39.09
50,0,20.1,34.4333,17.23,37.6267,22.1,35.2
390,40,21,47.0633,20.5333,45.6333,20.5333,45.59
40,0,22.1,35.8633,19.1,38.1267,22.6,35.8633
50,0,20.39,36.6267,18.6,37.29,20.39,37.2
80,20,21.6667,42.3633,22.7,39.2,22.89,38.7
100,10,20.6,37.6,18.6333,40.6267,21.39,35.09
60,0,22.1,40.745,19.6,43.9,22.8233,39.6267
60,0,22.8233,39.5,21.8233,39.1267,21.29,43.6267
90,0,20,38.4,18.5,39.3333,20.6,37.43
60,10,22.6,43.2233,21.5333,43.2233,25.4267,37.56
100,0,22.945,42.1175,21.9633,40.59,23.39,39.6267
270,10,21.89,44.5633,19.5667,47.4,24.0667,41.83
330,0,22.6,37.1333,21.2,36.79,23.2,35.29
110,30,22.6,43.16,21,42.4267,22.89,39.6267
60,0,20.79,36.76,19.2,37.59,20.5,35.9667
50,0,23.6,41.3633,24.5,36.59,24.5667,38.7
120,0,24.7,40.7,23.4267,39.1267,25.39,38.5
60,0,19.79,46.09,19.2,44.9,19.7,44.6267
60,0,20.1,43.8267,19.39,42.7,19.79,44.2
90,0,21.1,33.5,19.6667,32.73,23.6667,36.3333
50,0,21,37.7,18.39,40.3633,22.6,36.8267
300,0,22.9633,39.03,22.39,38.09,23.0667,40.8667
120,0,21.89,43.23,20.73,42.79,22.4633,41.56
130,20,21.5,40.7967,20.445,39.245,23.075,39.2
80,10,22.29,39.59,20.5,41.4633,22.2,38.03
100,0,20.5667,34.4,19.39,32.76,21.9267,36.4933
150,0,20.89,38.99,20.39,37.1267,20.7,39.06
50,0,22.89,39.7,20.39,41.718,25,37.7
200,10,20.9633,42.9633,20.23,42.2,20.39,41.59
140,20,22.1,43,20.5,44.29,23.0333,39.4333
30,0,21.29,38.26,18.5,41.2,22.39,37.73
50,0,21.1,39.59,19.29,41.8267,21.89,37.79
40,0,22.79,40.1633,22,39.26,21,41.9
200,0,19.7,36.09,17.6667,36.8333,19.8614,37.3971
210,0,24.1,31.73,24.1667,28.73,23.6,34.03
50,0,21.39,41.73,18.89,45.2,23.1,39.8267
340,0,24.29,34.6633,25.5,30.2,24,35.36
60,0,22,39.6333,23.5667,35.4,22.55,38.7
50,0,20.9267,37.7,18.29,40.59,22.6,36.9
120,10,17.39,37.1633,16.39,37.1267,17.79,37.2
60,0,24.2,41.5,25.7,35.5643,26.5,37.56
40,0,19.5,40.76,18.0667,40.8633,20.1667,40.3633
60,0,19.39,37.53,17.4633,40.09,20.2,35.79
60,10,22.5,42.3633,21.7,41,24.76,36.9333
290,0,21.2,37.5267,18.89,39.4333,22.7633,37.3
330,50,18.6,42.2333,18.1667,39.4633,19.46,43.73
30,0,21.29,38.1633,22.3233,36.99,21.79,36.5
60,20,22.6333,44.73,22.1,43.4333,22.29,45.2
40,0,20.8233,33.53,18.5,35.0267,22.6,35.09
50,0,21.73,38.6267,18.2,43.1333,22.39,37.5
110,30,23,44.2,22.39,42.59,22.39,44.3878
240,30,20,40.03,18.39,40.9,20.5,38.7
100,10,20.76,40.1233,19.39,36.93,20.7,36.0667
70,0,20.89,40.8267,18.39,44.5,21.79,38.1633
50,0,18.39,43.09,17.4267,43.8267,19.1,42.3633
40,0,20.2,37,18.0667,39.56,22.1,34.09
50,0,21.8233,35.53,18.9175,37.5225,22.2,35.73
230,0,20.0333,38.1267,18.5,38.9667,20.6,37.23
120,0,24.89,53.03,23.89,52.59,26.29,46.06
420,10,23.9633,47.66,23.0667,42.5267,25.23,44.76
90,30,25.39,39.1267,26.39,34.8633,26.5,37.7643
600,0,19.1,34.59,18.7,33.8633,19.23,35.23
120,30,22.39,46.8,22.1,44.4,22.1,46.09
70,10,21.39,33.6633,20,34,20.1,35.59
20,0,21.29,46.5267,20.39,45.2,21.9328,44.3328
180,0,21.9633,39.26,21.39,37.6633,21.89,41.3267
60,0,22.6667,39.76,20.4725,42,22.7,39.4
20,0,20.29,37.2,17.5,40.5,20.79,37.56
50,0,21.0667,46.1333,19.89,46.6633,21.7,42.9333
460,0,24.9633,36.26,23.5,32.2829,23.6,31.1567
60,0,23,34.8633,21,35.2233,23,36.09
110,30,21.7,44.29,20.26,44.8633,21.79,42.76
40,0,20.5,35.5,18,37,20.7,38.5
50,0,22.6,38.9333,21.7,37.6633,24.1667,36.5
70,0,24.29,39.2233,25.4975,36.14,26.26,37.03
60,0,21.89,39.7,23.1,36.7,22.2,37.9
90,10,18.26,39.8333,16.89,39.26,18.5,38
100,0,21.89,42.6967,20.29,42.9,22.79,38.9
100,0,22.1667,38.4333,20.6,38.4,21.5,38.8633
70,0,25.4633,50.53,25.4514,48.6371,26.175,45.855
40,0,18.6,43.29,17.6333,44.03,19.4267,42.7
110,20,22.73,37.2233,19.9633,40.0967,22.5,35.3267
50,0,22.79,33.43,21.39,33.2,21.6,34.79
20,0,21.5,38.7,19.2,41.6633,22.2,37.29
60,0,20.39,43.9233,19.29,41.8633,20.5,41.4333
70,0,21.89,42.4333,19.8267,47.0567,23.4267,38.4
50,0,22.39,38.6267,22.7,36.59,22.29,37.9
60,0,24.7,47.79,22.9843,49.9857,26.2257,42.9714
60,0,22.6,39.79,21.7,38.1633,24.1,36.73
110,0,24.1016,48.8713,25.1,43.3324,26.208,43.0981
40,10,19.39,37.2233,16.2,41.6267,20.5667,37.9
50,0,19.6,37,16.39,41.2,20.5,37.9
60,0,21.7,38.79,18.89,42.59,22.39,38.23
160,0,20.1,39.8333,19.7,34.2667,19.7,36.1
130,10,19.36,44.5667,19.1667,40.73,21.76,46.6233
50,0,18.29,43.09,17.29,43.76,19,42.2
530,20,21.5,33.7567,19.5,33.16,23.2225,35.42
50,0,22.0667,39.4333,23.5,35.3267,22.6,38.7
470,20,20.365,40.8925,19.26,41.39,20.5667,44.39
40,0,19.6,43,18.89,42.645,19.79,44.5
60,0,22.5,39.06,20.2,40.1267,25,36.5
100,10,21.5,40.7667,23.26,37.4267,22.39,38.4
50,0,23.79,40.29,21.2,42.79,25.39,39.9
70,0,21.9267,39.9633,19.5,43.3267,23,39.26
40,0,20.9633,40.6633,19.39,40.2,20.29,40.09
120,0,22.1,38.2667,21.26,35.99,22.4633,40.4333
90,20,22.5,45.03,21.6,44.5,21.9267,44.53
40,0,19.89,35.73,18,36.9667,20.29,34.7
300,0,22.89,37.8633,22.39,35.3633,26.79,36.2933
50,0,19.9267,45.5,19.29,44.6633,20.5,44.29
60,0,21.29,38.76,19.23,41.8633,22,36.9
50,20,22.2,40.4,19.89,42,22.79,38.59
100,0,22.39,44.99,22.1,43.1333,22.29,43.8817
40,0,20.29,40.29,18.6,41.4667,21.39,40.7
60,0,22.8567,40.76,20.39,43.7,24.66,37.46
60,10,20.7,41.09,19,41.29,20.2,41.59
40,0,19,47.23,18.39,47.03,19.79,45.5
40,0,23,38.1633,21,39.3633,22.2225,37.59
50,0,19.1,38.73,17.5,40.6633,20.6,38
